Security Code,status,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
523736,1,Dhunseri Ventures Limited,DVL,Dhunseri Ventures Ltd-$,Active,B ,10,INE477B01010,Other Food Products,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Food Products,Other Food Products
500089,1,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10,INE303A01010,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals
517214,1,DIGISPICE TECHNOLOGIES LIMITED,DIGISPICE,Digispice Technologies Ltd-$,Active,B ,3,INE927C01020,Telecom Equipment,Equity,Telecom,Telecommunications Equipment,Telecommunications Equipment,Telecommunications Equipment
539979,1,DIGJAM LIMITED,DIGJAMLTD,Digjam Ltd,Active,B ,10,INE731U01028,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles
540789,1,Diligent Media Corporation Limited,DNAMEDIA,Diligent Media Corporation Ltd,Active,T ,1,INE016M01021,Advertising & Media,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Advertising & Media Agencies
540047,1,Dilip Buildcon Limited,DBL,Dilip Buildcon Ltd,Active,A ,10,INE917M01012,Roads & Highways,Equity,Industrials,Transportation,Transport Infrastructure,Roads & Highways
532839,1,Dish TV India Limited,DISHTV,DISH TV INDIA LTD.,Active,A ,1,INE836F01026,Broadcasting & Cable TV,Equity,CDGS (Consumer Discretionary Goods & Services),Media,Media,Broadcasting & Cable TV
540701,1,Dishman Carbogen Amcis Limited,DCAL,Dishman Carbogen Amcis Ltd,Active,A ,2,INE385W01011,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
532488,1,Divi's Laboratories Ltd.,DIVISLAB,DIVI'S LABORATORIES LTD.,Active,A ,2,INE361B01024,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
540699,1,Dixon Technologies (India) Limited,DIXON,Dixon Technologies (India) Ltd,Active,A ,2,INE935N01020,Consumer Electronics,Equity,CDGS (Consumer Discretionary Goods & Services),Consumer Durables,Consumer Durables,Consumer Electronics
532868,1,DLF LIMITED,DLF,DLF LTD.,Active,A ,2,INE271C01023,Realty,Equity,CDGS (Consumer Discretionary Goods & Services),Realty,Realty,Realty
533146,1,D-Link (India) Ltd,DLINKINDIA,D-Link (India) Ltd,Active,B ,2,INE250K01012,IT Networking Equipment,Equity,Information Technology,Hardware Technology & Equipment,Communications Equipment,Networking Equipment
543306,1,Dodla Dairy Limited,DODLA,Dodla Dairy Ltd,Active,B ,10,INE021O01019,Packaged Foods,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Food Products,Packaged Foods
505526,1,DOLAT ALGOTECH LIMITED,DOLATALGO,Dolat Algotech Ltd,Active,B ,1,INE966A01022,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services
541403,1,Dollar Industries Limited,DOLLAR,Dollar Industries Ltd,Active,B ,2,INE325C01035,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories
512519,1,Donear Industries Ltd,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,B ,2,INE668D01028,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles
539524,1,Dr. Lal Pathlabs Limited,LALPATHLAB,Dr. Lal PathLabs Ltd,Active,A ,10,INE600L01024,Healthcare Services,Equity,Healthcare,Healthcare Services,Healthcare Services,Healthcare Services
500124,1,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5,INE089A01023,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals
523618,1,"Dredging Corporation of India Ltd.,",DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,Active,B ,10,INE506A01018,Shipping,Equity,Industrials,Transportation,Transport Services,Shipping
534674,1,Ducon Infratechnologies Limited,DUCON,Ducon Infratechnologies Ltd,Active,T ,1,INE741L01018,Comm.Trading  & Distribution,Equity,Industrials,Commercial Services & Supplies,Commercial Services & Supplies,Trading Companies & Distributors
532610,1,Dwarikesh Sugar Industries Ltd.,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,A ,1,INE366A01041,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar
532365,1,Dynacons Systems & Solutions Ltd.,DSSL,DYNACONS SYSTEMS & SOLUTIONS LTD.,Active,B ,10,INE417B01040,IT Consulting & Software,Equity,Information Technology,Software & Services,IT Software & Services,IT Consulting & Application Software
505242,1,"Dynamatic Technologies Ltd.,",DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,Active,B ,10,INE221B01012,Industrial Machinery,Equity,Industrials,Capital Goods,Machinery,Industrial Machinery
